name,latitude,longitude,altitude
U72,40.76177523,-73.97919659,28.18
U63,40.75905274,-73.98096265,26.818
U67,40.76186061,-73.97891764,27.812
U64,40.75879579,-73.98137084,25.694
U65,40.75941795,-73.98094413,27.032
U37,40.76058028,-73.97982089,27.911
U36,40.76144274,-73.97943711,28.422
U47,40.7600462,-73.98045773,26.976
U48,40.76029401,-73.98005967,27.203
U49,40.76122549,-73.97938228,27.739
U68,40.7578066,-73.98187476,26.03
U69,40.75714289,-73.98235702,27.119
U73,40.75842626,-73.98142228,26.144
U55,40.75967655,-73.98050922,27.11
U54,40.76092075,-73.97960234,28.029
U71,40.76269415,-73.97852348,27.968
U70,40.75740338,-73.98238506,26.391
U51,40.75676955,-73.9828465,27.497
U50,40.76207846,-73.97896955,28.202
U53,40.76082299,-73.97989446,27.851
U52,40.75807043,-73.98197247,25.688
U60,40.76218047,-73.97868147,28.044
U61,40.75707826,-73.98262271,27.01
U66,40.76281933,-73.97821678,27.618
U62,40.75686384,-73.98255949,27.464